ml_input,焦虑,悲伤,生气,羞愧,无助,平静,轻松
[事件]: 开会发言时卡壳 [认知]: 我当众出丑了，同事肯定都在心里嘲笑我蠢，我的职业形象彻底完蛋了。,85,50,0,75,50,0,0
[事件]: 体检报告有项指标异常 [认知]: 我肯定得了绝症，身体已经不行了，未来全是痛苦和折磨，一切都完了。,90,80,10,20,85,5,0
[事件]: 孩子考试成绩不理想 [认知]: 我是个糟糕透顶的家长，是我毁了孩子的前途，我根本不配做父母。,70,65,20,80,75,10,5
[事件]: 网购商品有瑕疵 [认知]: 我总是这么倒霉，连这么小的事都做不好，全世界都在跟我作对，活着真没意思。,75,80,60,70,90,0,0
[事件]: 和同事意见不合 [认知]: 我处理人际关系的能力太差了，又把事情搞砸了，以后在公司肯定会被所有人排挤。,75,50,10,60,70,5,0
[事件]: 健身计划中断三天 [认知]: 我一点毅力都没有，连这么简单的事都坚持不了，我就是个懒惰的、注定肥胖的 loser。,50,50,25,75,75,0,0
[事件]: 父母又打电话催婚 [认知]: 我让他们失望了，我是个不孝子，我的人生就是个彻头彻尾的错误和笑话。,70,80,20,90,85,5,0
[事件]: 看到同龄人升职加薪 [认知]: 我比别人差远了，这么多年都白活了，我这辈子都不可能追上他们，注定是个 loser。,75,85,25,90,95,0,0
[事件]: 在公开场合说错话 [认知]: 我真是个社交白痴，那句话蠢透了，他们一定觉得我是个怪胎，再也不想理我了。,75,50,0,85,60,0,0
[事件]: 尝试新菜做失败了 [认知]: 我什么都做不好，连顿饭都做不成，我真是个毫无价值、一无是处的人。,30,50,0,80,70,0,0
[事件]: 忘记一个重要纪念日 [认知]: 我太自私太粗心了，我根本不配被爱，我爱的人迟早都会离开我这个糟糕的人。,70,60,10,85,75,0,0
[事件]: 看到镜子里自己的身材 [认知]: 我胖得令人作呕，这副样子根本没人会喜欢，我的人生因为肥胖而一片灰暗。,60,55,10,85,75,0,0
[事件]: 被暗恋对象当众拒绝表白 [认知]: 我真是个彻头彻尾的失败者，永远不配得到爱情，所有人都在嘲笑我的不自量力。,70,80,20,85,75,5,0
[事件]: 脸上突然长满痘痘不敢出门 [认知]: 我现在丑得没法见人，别人看到我的脸就会感到恶心和嫌弃，我的人生彻底毁了。,70,60,20,80,75,10,5
[事件]: 失业三个月找不到新工作 [认知]: 我毫无价值，是个被社会淘汰的废物，连养活自己都做不到，未来一片黑暗。,85,80,40,75,90,5,0
[事件]: 体检报告显示疑似重病 [认知]: 我肯定活不长了，所有计划都成了泡影，恐惧和绝望已经把我彻底吞噬。,95,85,20,10,90,0,0
[事件]: 在重要会议上说错话冷场 [认知]: 我就是个社交白痴，永远学不会得体地说话，同事肯定都在背后议论我的愚蠢。,85,60,20,80,75,5,0
[事件]: 伴侣长期冷战提出分手 [认知]: 都是我不好，我不值得被爱，所有的关系最终都会因为我而破裂。,60,80,20,75,70,5,0
[事件]: 投资失败欠下大量债务 [认知]: 我的人生已经完蛋了，我做的每个决定都是错的，根本没有翻身的可能。,85,70,40,60,80,5,0
[事件]: 看到朋友聚会没邀请自己 [认知]: 他们肯定都讨厌我，我是个不受欢迎的人，永远融不进任何圈子。,75,70,20,60,80,0,0
[事件]: 辛苦做的方案被领导全盘否定 [认知]: 我的工作能力太差了，所有的努力都是白费，在职场上毫无前途。,75,80,40,70,85,0,0
[事件]: 因身材被陌生人指指点点 [认知]: 我的身体令人作呕，不配拥有快乐和自信，只能活在别人的眼光和评判里。,85,80,40,90,85,5,0
[事件]: 家人重病自己却无能为力 [认知]: 我是个没用的子女，在最需要的时候什么也做不了，只有深深的内疚和自责。,70,80,10,85,90,0,0
[事件]: 精心准备的演讲忘词僵在台上 [认知]: 我永远克服不了紧张，在关键时刻总会掉链子，注定成不了大事。,75,50,25,75,85,0,0
[事件]: 发现信任的朋友背后说自己坏话 [认知]: 我根本不会看人，对谁都真心实意却总被背叛，人与人之间没有真诚。,40,70,75,60,65,0,0
[事件]: 年龄渐长却一事无成 [认知]: 我已经错过了所有机会，人生定型了，再怎么挣扎也改变不了失败的结局。,75,85,25,50,90,0,0
[事件]: 在陌生环境里独自一人不知所措 [认知]: 我完全没有独立生存的能力，离开熟悉的环境就寸步难行，像个无助的孩子。,70,40,0,30,80,0,0
[事件]: 反复尝试减肥却总是反弹 [认知]: 我连自己的食欲都控制不了，缺乏最基本的自律，活该一直这么糟糕。,50,75,50,85,80,0,0
[事件]: 被公司裁员后投简历无果 [认知]: 我肯定是个毫无价值的失败者，这辈子都找不到工作了，人生彻底完蛋了,85,80,40,75,90,0,0
[事件]: 发现伴侣和异性同事聊天频繁 [认知]: 他一定不爱我了，我毫无吸引力，这段感情迟早要完,85,75,25,50,60,0,0
[事件]: 脸上长了几颗痘痘 [认知]: 我丑得没法见人，所有人都会在背后嘲笑我的皮肤，我的人生被毁了,85,60,20,90,80,5,0
[事件]: 朋友聚会没叫我 [认知]: 他们肯定都讨厌我，我是个不受欢迎、令人厌烦的人，根本不配拥有朋友,70,80,20,85,75,5,0
[事件]: 开会发言时声音发抖 [认知]: 我表现得像个傻瓜，同事和领导一定觉得我能力极差，升职加薪彻底没戏了,85,40,10,75,70,5,0
[事件]: 父母总拿我和别人家孩子比较 [认知]: 我永远达不到他们的期望，我就是个让父母失望的废物，活着没意义,70,85,40,80,90,5,0
[事件]: 孩子考试成绩不理想 [认知]: 我是个彻头彻尾的失败家长，是我毁了孩子的前途，我不配当父母,30,60,0,85,80,0,0
[事件]: 看到同龄人事业有成 [认知]: 我的人生已经落后太多，这辈子注定一事无成，再怎么努力也追不上了,50,75,0,50,85,0,0
[事件]: 身体检查有一项指标异常 [认知]: 我肯定得了绝症，马上就要死了，我的家庭和未来全完了,95,85,10,70,90,5,0
[事件]: 在公开场合说错一句话 [认知]: 所有人都记住了我的蠢话，他们会一直嘲笑我，我的社会形象彻底毁了,80,40,20,75,70,10,5
[事件]: 投资亏损了一笔钱 [认知]: 我根本没有理财头脑，家庭经济要被我拖垮了，我是个不负责任的配偶,70,40,20,80,75,5,0
[事件]: 拒绝了同事的帮忙请求 [认知]: 我真是个自私冷漠的人，大家以后都不会再理我了，我会被整个团队孤立,40,60,30,70,65,10,5
[事件]: 学新技能进度很慢 [认知]: 我脑子太笨了，什么都学不会，我这辈子也就这样了，不可能有任何进步,25,50,0,75,75,0,0
[事件]: 伴侣忘了纪念日 [认知]: 他根本不在乎我，我们的感情已经淡了，他迟早会离开我找别人,70,60,40,10,50,5,0
[事件]: 在社交软件上发动态没人点赞 [认知]: 我的生活枯燥无趣，根本没人关心我，我是个透明人，存在毫无价值,50,85,40,75,80,0,0
[事件]: 领导交代的任务出了小差错 [认知]: 我连这么简单的事都做不好，领导肯定觉得我无能，马上就要开除我了,75,25,10,70,65,0,0
[事件]: 面试被拒后看到同学拿到offer [认知]: 我永远都比不上别人，连最基本的工作都找不到，这辈子注定要失败了。,85,90,40,75,95,0,0
[事件]: 发现伴侣手机有异性聊天记录 [认知]: 他肯定不爱我了，我这么无趣的人根本不值得被爱，最后都会被抛弃的。,80,75,40,70,75,10,5
[事件]: 拍照时发现自己脸很圆 [认知]: 我长得太丑了，别人看到我都会觉得恶心，根本不配拥有美好的东西。,75,70,20,85,80,5,0
[事件]: 房租涨价后工资不够用 [认知]: 我连养活自己都做不到，真是个没用的废物，永远都过不上好日子。,85,80,40,90,95,0,0
[事件]: 体检报告显示新异常指标 [认知]: 我的身体彻底完了，再怎么努力也没用，很快就会变成家人的累赘。,85,75,20,40,90,0,0
[事件]: 聚会时别人聊天插不上话 [认知]: 我这么无聊的人根本没人想理，大家肯定都在背后嘲笑我不会社交。,75,50,10,70,60,5,0
[事件]: 方案被领导批评不够创新 [认知]: 我一点创造力都没有，思维僵化得像块木头，根本不配做这份工作。,60,55,10,80,75,5,0
[事件]: 看到前男友和新女友很甜蜜 [认知]: 我就是个失败者，永远找不到幸福，注定要孤独终老没人要。,80,85,40,70,90,0,0
[事件]: 父母说邻居孩子考上公务员 [认知]: 我让父母丢脸了，他们养了个没出息的女儿，这辈子都抬不起头。,70,75,10,80,65,5,0
[事件]: 健身一个月体重没变化 [认知]: 我连控制自己身体都做不到，意志力薄弱到可笑，活该这么糟糕。,25,50,0,75,75,0,0
[事件]: 朋友聚会没叫我参加 [认知]: 我果然是被所有人讨厌的，根本没有人真心把我当朋友，都是假的。,70,85,60,75,80,0,0
[事件]: 开车刮蹭到别人的车 [认知]: 我什么都做不好，连最简单的事情都会搞砸，就是个成事不足的麻烦精。,75,50,25,75,75,0,0
[事件]: 看到同龄人买房结婚 [认知]: 我的人生进度落后太多了，已经被所有人甩在后面，永远追不上了。,75,70,20,65,80,5,0
[事件]: 汇报时紧张到说话结巴 [认知]: 我在公开场合就是个笑话，心理素质差到极点，根本不配被重视。,75,50,0,85,50,0,0
[事件]: 尝试新发型被说不好看 [认知]: 我怎么打扮都没用，天生就缺乏魅力，再怎么努力也是白费功夫。,25,50,0,75,75,0,0
[事件]: 信用卡账单超出还款能力 [认知]: 我连财务都管理不好，自制力差到无可救药，活该陷入这种困境。,50,50,0,75,75,0,0
[事件]: 面试被拒后看到录取者学历更高 [认知]: 我永远比不上那些名校毕业的人，努力根本没用,50,75,25,25,85,0,0
[事件]: 朋友聚会没人主动联系我参加 [认知]: 我根本不受欢迎，他们肯定在背后议论我,70,60,20,65,55,10,5
[事件]: 体检报告显示一项指标异常 [认知]: 我肯定得了绝症，人生就要完了,85,70,10,10,80,5,0
[事件]: 发朋友圈半小时没人点赞 [认知]: 我的生活太无聊了，根本没人关心我,30,60,0,25,55,0,0
[事件]: 同事升职了我还在原岗位 [认知]: 我能力太差了，这辈子都不会有出息,50,70,10,65,75,0,0
[事件]: 网购衣服穿上显胖退货 [认知]: 我身材这么差，穿什么都不好看,30,60,10,55,40,20,15
[事件]: 父母催婚说年纪不小了 [认知]: 我注定要孤独终老，没人会真正爱我,25,75,0,25,75,0,0
[事件]: 会议上发言时声音发抖 [认知]: 所有人都看出我很紧张，觉得我很可笑,75,25,10,70,50,0,0
[事件]: 信用卡账单超出还款能力 [认知]: 我连自己的财务都管不好，真是个失败者,50,40,20,75,70,0,0
[事件]: 孩子成绩下降被老师约谈 [认知]: 我不是合格的家长，耽误了孩子的前途,30,50,0,70,60,0,0
[事件]: 健身两周体重没变化 [认知]: 我连减肥都坚持不了，做什么都不会成功,40,45,20,60,70,0,0
[事件]: 被客户投诉服务态度不好 [认知]: 我性格有问题，根本不适合与人打交道,25,50,0,75,75,0,0
[事件]: 看到前男友晒新恋情照片 [认知]: 我永远找不到比他更好的人了，活该单身,40,60,20,55,50,10,5
[事件]: 提案被领导全盘否定 [认知]: 我的想法一文不值，在公司毫无存在感,60,70,40,80,75,0,0
[事件]: 邻居装修噪音影响休息 [认知]: 全世界都在跟我作对，我连安静生活的权利都没有,70,40,85,10,80,5,0
[事件]: 尝试新发型被说不好看 [认知]: 我长得就不好看，再怎么打扮也没用,25,50,25,50,50,0,0
[事件]: 被男友冷暴力一周 [认知]: 他肯定不爱我了，我做什么都是错的，这段感情彻底完了,75,80,25,10,85,0,0
[事件]: 照镜子发现眼角细纹 [认知]: 我老了，没人会喜欢我了，青春彻底结束了,60,55,10,30,40,5,5
[事件]: 信用卡账单超出还款能力 [认知]: 我真是个失败者，连自己的财务都管不好，这辈子完了,85,75,25,90,80,0,0
[事件]: 体检报告显示异常指标 [认知]: 我肯定得了绝症，人生就要这样结束了，太可怕了,95,80,10,5,90,0,0
[事件]: 聚会说错话冷场 [认知]: 所有人都觉得我是个笑话，再也没脸见他们了,75,50,0,85,60,0,0
[事件]: 工作项目被领导否定 [认知]: 我能力太差了，根本不配这份工作，迟早会被开除,80,60,20,85,75,5,0
[事件]: 孩子考试成绩垫底 [认知]: 我是个糟糕的家长，把孩子的一生都毁了,25,50,0,75,75,0,0
[事件]: 朋友聚会没邀请我 [认知]: 他们肯定都讨厌我，我根本没有任何朋友,50,75,40,70,80,0,0
[事件]: 网购衣服穿上不好看 [认知]: 我身材太差了，穿什么都不好看，永远没法变美,70,75,20,80,85,0,0
[事件]: 父母催婚压力巨大 [认知]: 我让他们失望了，是个不孝子，人生彻底失败,60,70,10,80,75,0,0
[事件]: 同事升职我没升 [认知]: 领导根本不认可我，再怎么努力也没用，职场没希望了,30,70,20,40,80,0,0
[事件]: 社交媒体没人点赞 [认知]: 我的生活毫无价值，连分享都没人关心，太可悲了,60,80,40,70,75,0,0
[事件]: 学新技能总是失败 [认知]: 我太笨了，什么都学不会，这辈子就这样了,30,60,25,55,65,0,0
[事件]: 邻居装修噪音不断 [认知]: 全世界都在跟我作对，连个安静的环境都没有,60,25,65,0,30,0,0
[事件]: 宠物生病治疗费高 [认知]: 我连宠物都照顾不好，还让它受苦，太没用了,25,30,0,70,65,0,0
[事件]: 独自过节没人陪伴 [认知]: 我注定要孤独终老，根本没人会在意我,75,75,0,25,75,0,0
[事件]: 被暗恋对象拒绝表白 [认知]: 我果然毫无魅力，连喜欢的人都留不住，这辈子注定孤独终老。,70,85,20,65,80,5,0
[事件]: 面试失败多次 [认知]: 我能力太差了，根本竞争不过别人，永远找不到好工作。,70,80,20,60,90,0,0
[事件]: 朋友聚会没被邀请 [认知]: 我就是个可有可无的人，大家其实都不喜欢我，只是表面客气。,60,80,20,75,70,10,5
[事件]: 家人重病住院 [认知]: 我什么都做不了，既没钱也没用，是个失败的家庭成员。,30,60,20,55,70,0,0
[事件]: 项目被领导批评 [认知]: 我做什么都做不好，只会拖团队后腿，根本不配这份工作。,80,75,20,85,90,0,0
[事件]: 看到同龄人买房买车 [认知]: 我的人生已经落后太多了，再怎么努力也追不上别人。,60,55,10,70,80,5,5
[事件]: 伴侣抱怨生活压力大 [认知]: 都是我的错，是我没本事赚钱，才让家人跟着受苦。,75,70,0,80,75,0,0
[事件]: 在公开场合说错话 [认知]: 我真是个社交白痴，永远学不会得体地与人相处。,60,50,10,80,70,5,0
[事件]: 体重反弹减肥失败 [认知]: 我连自己的身材都控制不了，意志力薄弱，一事无成。,60,70,10,80,65,5,0
[事件]: 家人催婚催生压力大 [认知]: 我的人生进度完全失败，让父母失望，是个不孝子。,60,70,30,80,75,0,0
[事件]: 被同事抢了功劳 [认知]: 我就是太软弱好欺负，活该被人利用，永远当不了主角。,70,80,60,85,90,5,0
[事件]: 投资亏损积蓄缩水 [认知]: 我真是个蠢货，没有理财头脑，这辈子都富不起来。,60,55,20,80,75,0,0
[事件]: 看到镜子里的自己 [认知]: 长得这么普通甚至难看，难怪没人喜欢，外表就输了。,25,50,0,75,75,0,0
[事件]: 独自过节无人陪伴 [认知]: 我的人际关系真失败，连个一起过节的人都找不到。,40,70,10,30,65,0,0
[事件]: 学习新技能进度缓慢 [认知]: 我脑子太笨了，接受能力差，学什么都比人慢半拍。,55,50,0,60,55,0,0
[事件]: 听到别人讨论成功经历 [认知]: 别人的生活都光鲜亮丽，只有我的人生一片灰暗，毫无希望。,70,85,20,60,80,0,0
[事件]: 面试被拒后收到拒信 [认知]: 我果然什么都做不好，永远是个失败者，根本没人会认可我的价值,30,60,10,80,90,0,0
[事件]: 朋友聚会没人主动联系我 [认知]: 我根本就是多余的，大家其实都不喜欢我，只是表面客气而已,50,75,25,75,75,0,0
[事件]: 照镜子发现眼角有细纹 [认知]: 我越来越丑了，青春已经彻底离我而去，再也不会有人爱我了,75,70,10,60,80,0,0
[事件]: 信用卡账单超出还款能力 [认知]: 我连自己的财务都管不好，注定要穷困潦倒一辈子，永远翻不了身,80,70,20,75,85,5,0
[事件]: 体检报告显示异常指标 [认知]: 我肯定得了绝症，人生就要完了，所有的计划都成了泡影,85,75,25,25,80,0,0
[事件]: 在会议上发言时忘词 [认知]: 所有人都看到我出丑了，他们会觉得我是个彻头彻尾的傻瓜，再也不会尊重我,75,40,10,70,60,5,0
[事件]: 伴侣忘记纪念日 [认知]: 他根本不在乎我，我们的感情已经名存实亡，我注定得不到真爱,40,70,30,0,60,0,0
[事件]: 父母又拿我和别人比较 [认知]: 我永远达不到他们的期望，我就是个让父母失望的废物孩子,60,70,40,75,80,10,5
[事件]: 工作项目出现重大失误 [认知]: 我完全不适合这个行业，职业道路已经毁了，前途一片黑暗,70,75,20,60,80,5,0
[事件]: 看到前任有了新恋情 [认知]: 我果然不值得被爱，他这么快就找到了更好的人，证明我毫无价值,60,80,50,75,70,0,0
[事件]: 独自过生日没人记得 [认知]: 我在这世界上根本无足轻重，连最亲近的人都想不起我，活着真没意思,85,95,40,70,90,0,0
[事件]: 尝试新爱好却很快放弃 [认知]: 我连坚持做一件事都做不到，缺乏毅力的性格注定一事无成,40,30,0,70,60,0,0
[事件]: 被同事在背后议论 [认知]: 所有人都在嘲笑我，我的人际关系彻底崩坏了，再也无法面对他们,85,75,25,70,80,0,0
[事件]: 房价上涨买不起房 [认知]: 我这辈子都别想有自己的家了，永远只能漂泊流浪，没有归属感,30,70,10,25,80,0,0
[事件]: 孩子成绩不如同龄人 [认知]: 我是个失败的父母，耽误了孩子的前程，毁了他的人生,50,50,0,75,75,0,0
[事件]: 社交媒体上发帖零互动 [认知]: 我的存在毫无意义，连虚拟世界都没人愿意关注我，彻底被世界遗忘了,60,85,40,70,90,0,0
[事件]: 在会议上被同事抢了功劳 [认知]: 我永远都是那个被忽视的人，我的努力根本不值得被看见，说出来只会显得我斤斤计较。,70,65,40,60,75,10,5
[事件]: 暗恋对象和别人在一起了 [认知]: 我根本不配拥有爱情，像我这样的人只会给别人带来负担，还是一个人比较好。,70,85,20,80,90,5,0
[事件]: 面试时紧张到说话结巴 [认知]: 我真是个失败者，连话都说不清楚，别人肯定觉得我很蠢，不会有公司要我的。,75,50,25,75,75,0,0
[事件]: 朋友聚会没人主动联系我 [认知]: 我果然是个无趣的人，大家其实都不喜欢我，我只是个可有可无的透明人。,30,80,20,70,85,0,0
[事件]: 看到镜子里自己的身材 [认知]: 我太胖了，穿什么都不好看，别人看到我都会觉得恶心，根本不值得被爱。,80,70,20,85,75,0,0
[事件]: 父母又拿我和别人家孩子比较 [认知]: 我永远都达不到他们的期望，我就是个让父母失望的废物，活着真没意思。,80,85,40,75,90,0,0
[事件]: 工作上犯了一个小错误 [认知]: 我什么都做不好，这么简单的事都能搞砸，同事和领导一定都在背后嘲笑我无能。,85,60,20,90,75,5,0
[事件]: 鼓起勇气约人吃饭被婉拒 [认知]: 我太冒昧了，别人肯定觉得我很烦很讨厌，我根本不应该有社交的念头。,70,65,10,80,40,0,0
[事件]: 看到存款数字几乎没有增长 [认知]: 我的人生完蛋了，别人都在进步只有我在原地踏步，我这辈子都不会有出息了。,60,65,30,55,70,0,0
[事件]: 体检报告显示几项指标异常 [认知]: 我的身体肯定出大问题了，我这么不会照顾自己，以后只会成为家人的累赘。,85,70,20,75,80,0,0
[事件]: 在公开场合不小心说错话 [认知]: 所有人都看到我出丑了，他们一定觉得我是个笑话，以后都没脸见人了。,75,50,25,75,50,0,0
[事件]: 拒绝了朋友的借钱请求 [认知]: 我真是个自私冷漠的人，朋友有困难都不帮，我根本不配拥有友谊。,70,75,10,85,70,5,0
[事件]: 学习新技能总是学得很慢 [认知]: 我太笨了，脑子根本转不动，别人都能轻松学会的东西我却要花十倍时间。,50,50,0,50,50,0,0
[事件]: 和家人争吵后说了重话 [认知]: 我伤害了最爱我的人，我真是个糟糕透顶的人，根本不配得到家人的关爱。,70,75,20,85,60,5,0
[事件]: 看到同龄人都结婚生子了 [认知]: 我的人生已经落后太多了，我注定要孤独终老，没有人会愿意和我这样的人在一起。,85,80,20,70,75,10,5
[事件]: 尝试新发型被说不好看 [认知]: 我连打扮自己都不会，审美这么差，再怎么努力改变也还是丑，干脆放弃算了。,25,50,0,75,75,0,0
[事件]: 被恋人冷暴力分手 [认知]: 我肯定不够好才被抛弃，以后也不会有人真心爱我，爱情都是虚假的。,70,85,40,75,80,5,0
[事件]: 面试失败多次 [认知]: 我能力太差了，永远找不到好工作，人生已经没希望了。,85,80,40,75,90,5,0
[事件]: 脸上长了很多痘痘 [认知]: 我这么丑根本没法见人，所有人都会嘲笑我，社交毫无意义。,85,60,20,80,75,5,0
[事件]: 朋友聚会没叫我 [认知]: 我果然是个不受欢迎的人，大家其实都讨厌我，社交圈迟早会抛弃我。,80,75,10,60,70,0,0
[事件]: 看到存款所剩无几 [认知]: 我连钱都存不住，未来肯定会穷困潦倒，人生彻底失败了。,70,40,10,60,65,5,0
[事件]: 体检报告有异常指标 [认知]: 我肯定得了绝症，生命就要结束了，一切努力都白费了。,85,70,30,25,80,0,0
[事件]: 在会议上说错话 [认知]: 我真是个蠢货，同事领导都会看不起我，职业生涯完蛋了。,80,40,10,75,60,5,0
[事件]: 父母经常为钱吵架 [认知]: 家庭不幸都是因为我开销大，我是个累赘，不配拥有幸福。,30,70,10,80,60,0,0
[事件]: 看到同龄人事业有成 [认知]: 我落后太多了，一辈子都比不上别人，人生已经输掉了。,80,75,40,50,85,0,0
[事件]: 宠物突然生病去世 [认知]: 连个小生命都照顾不好，我太没用了，不配拥有任何美好事物。,60,80,20,75,70,10,5
[事件]: 精心准备的方案被否决 [认知]: 我的想法毫无价值，工作能力根本不行，迟早会被辞退。,75,50,25,65,70,0,0
[事件]: 独居时听到奇怪声响 [认知]: 肯定有坏人进来了，我随时会有危险，世界太不安全了。,85,10,5,0,70,0,0
[事件]: 被网络上的负面新闻淹没 [认知]: 社会这么黑暗糟糕，未来只会更差，活着真是种煎熬。,70,80,40,10,85,0,0
[事件]: 尝试新爱好很快就放弃 [认知]: 我做什么都坚持不下去，是个毫无毅力的废物，注定一事无成。,60,50,10,80,70,5,0
[事件]: 亲戚炫耀孩子成绩 [认知]: 我给父母丢脸了，永远达不到他们的期望，是个失败的孩子。,60,70,40,85,80,0,0
[事件]: 看到老人孤独生活 [认知]: 我老了也会这样孤苦无依，人生终点如此凄凉，过程毫无意义。,80,70,10,5,75,0,0
[事件]: 被男友冷暴力分手 [认知]: 我这么糟糕的人，根本不配被爱，以后也不会有人真心喜欢我了。,70,85,40,80,90,5,0
[事件]: 脸上长满痘痘不敢出门 [认知]: 我丑得像怪物，所有人都会嘲笑我，这辈子都找不到对象了。,85,75,25,80,75,0,0
[事件]: 失业三个月存款见底 [认知]: 我就是个彻头彻尾的失败者，连自己都养不活，人生彻底没希望了。,85,80,40,75,90,5,0
[事件]: 体检报告显示异常指标 [认知]: 我肯定得了绝症，马上就要死了，治疗也是白费钱。,85,30,0,0,80,0,0
[事件]: 在同事面前说错话 [认知]: 他们一定觉得我是蠢货，以后在公司再也抬不起头了。,80,60,10,70,75,5,0
[事件]: 父母催婚压力巨大 [认知]: 我让全家失望，是个不孝子，人生进度落后所有人。,50,50,0,75,75,0,0
[事件]: 看到朋友升职加薪 [认知]: 我永远比不上别人，注定一辈子平庸，努力也没用。,25,50,0,75,75,0,0
[事件]: 网购衣服全部不合身 [认知]: 我的身材太畸形了，穿什么都不好看，根本不配打扮。,50,75,10,85,70,0,0
[事件]: 开会时发言被领导打断 [认知]: 我的想法毫无价值，领导根本看不起我，职场生涯完了。,75,60,40,70,80,10,5
[事件]: 租房遇到黑心中介 [认知]: 我太笨了才会被骗，什么事都做不好，活该吃亏。,30,60,40,70,65,0,0
[事件]: 健身两周体重没变 [认知]: 我连减肥都坚持不了，自制力为零，永远是个胖子。,25,50,0,75,75,0,0
[事件]: 朋友聚会没邀请我 [认知]: 他们肯定都讨厌我，我根本没什么真正的朋友。,80,90,30,85,90,5,0
[事件]: 被客户投诉服务差 [认知]: 我工作能力太差了，根本不适合这个行业，迟早被开除。,85,60,10,70,80,0,0
[事件]: 看到前任晒新恋情 [认知]: 只有我还在原地踏步，没人会爱我这个失败者。,70,85,40,80,90,5,0
[事件]: 学新技能总是学不会 [认知]: 我脑子太笨了，什么都学不好，这辈子就这样了。,30,60,0,70,80,0,0
[事件]: 家人住院需要大笔费用 [认知]: 我赚不到钱帮不上忙，真是个没用的废物。,80,70,20,85,90,5,0
[事件]: 被同事当众指出方案漏洞 [认知]: 我真是个没用的废物，连最基本的工作都做不好，所有人都在看我的笑话。,80,70,20,85,75,5,0
[事件]: 面试时被问及职业空窗期 [认知]: 我的人生已经彻底失败了，这段空白永远无法弥补，没有公司会要我这个失败者。,80,70,20,75,85,0,0
[事件]: 朋友聚会没人主动联系我 [认知]: 我根本就是个不受欢迎的人，大家其实都很讨厌我，只是不好意思说出口。,50,75,40,70,80,0,0
[事件]: 看到镜子里自己发福的身材 [认知]: 我连自己的体重都控制不了，这么丑这么胖，根本不配得到任何人的喜欢。,85,70,40,80,75,0,0
[事件]: 家人催婚压力越来越大 [认知]: 我的人生进度已经远远落后了，这辈子可能都找不到合适的人，注定孤独终老。,80,75,20,40,70,0,0
[事件]: 信用卡账单超出还款能力 [认知]: 我完全是个没有自制力的败家子，财务一团糟，这辈子都不可能过上体面的生活。,60,55,20,80,75,5,0
[事件]: 在会议上发言声音发抖 [认知]: 我永远克服不了当众说话的恐惧，这种懦弱的样子让所有人都看不起我。,85,60,20,80,75,5,0
[事件]: 体检报告显示几项指标异常 [认知]: 我的身体肯定出大问题了，可能得了重病，未来全毁了。,85,70,30,25,80,0,0
[事件]: 尝试新发型被朋友说不好看 [认知]: 我做什么都是错的，连最基本的审美都没有，永远学不会打扮自己。,25,50,0,75,75,0,0
[事件]: 看到同龄人买房买车结婚 [认知]: 我的人生已经彻底输在起跑线上了，再怎么努力也追不上别人，毫无希望。,80,85,20,60,90,5,0
[事件]: 孩子考试成绩班级倒数 [认知]: 我是个失败的父母，连自己的孩子都教育不好，耽误了他的未来。,80,70,20,85,75,0,0
[事件]: 向暗恋对象表白被婉拒 [认知]: 我果然毫无吸引力，根本不值得被爱，这辈子都不会有人真心喜欢我。,70,85,40,80,90,0,0
[事件]: 工作项目被领导转交他人 [认知]: 领导已经完全不信任我的能力了，我在公司毫无价值，随时会被淘汰。,85,60,20,50,75,0,0
[事件]: 父母为小事不断争吵 [认知]: 都是因为我不够好不够优秀，才让家里充满矛盾，我是家庭不幸福的根源。,80,85,10,90,75,5,0
[事件]: 看到社交媒体上的完美生活 [认知]: 别人的生活都那么精彩，只有我过得一团糟，我的人生毫无意义。,50,85,40,75,90,0,0
[事件]: 重要约会前脸上突然爆痘 [认知]: 连皮肤都要跟我作对，这个样子根本没法见人，肯定会把一切都搞砸。,75,25,25,50,50,0,0
[事件]: 被裁员后投简历屡屡碰壁 [认知]: 我是不是真的毫无价值了？为什么别人都能找到工作，就我不行？是不是我天生就比别人差？,60,70,20,50,75,10,5
[事件]: 朋友聚会时被调侃身材 [认知]: 他们都在嘲笑我吧？我这么胖肯定没人喜欢，连朋友都看不起我，我是不是该彻底躲起来？,80,70,30,85,75,10,5
[事件]: 在会议上发言时声音发抖 [认知]: 所有人都看到我出丑了，他们肯定觉得我能力不行，以后再也不会有重要任务交给我了。,80,20,10,70,60,5,0
[事件]: 发现伴侣和异性同事聊天频繁 [认知]: 他肯定对我不满意了，我是不是哪里做得不够好？这段关系是不是快要结束了？,65,55,10,30,40,5,0
[事件]: 父母生病住院需要大笔费用 [认知]: 我真是个没用的子女，连给父母治病的能力都没有，我的人生太失败了。,60,70,40,80,85,0,0
[事件]: 看到同龄人都买房结婚 [认知]: 我落后太多了，人生规划一塌糊涂，是不是这辈子都赶不上别人了？,75,60,10,40,70,0,0
[事件]: 在社交软件上发照片无人点赞 [认知]: 我果然没有吸引力，连虚拟世界的认可都得不到，现实里更不会有人在意我。,60,70,10,50,65,5,0
[事件]: 学习新技能时总是学不会 [认知]: 我的脑子是不是太笨了？别人都能轻松掌握，为什么我就这么吃力？可能我天生就不适合学习。,30,25,0,40,50,0,0
[事件]: 被领导当众批评工作失误 [认知]: 我在领导眼里肯定一无是处了，这次错误会永远成为我的污点，职业生涯完蛋了。,85,60,20,70,80,5,0
